Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name
360,175 g,Qualcomm Snapdragon 820 MSM8996,"2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo, Cores: 4","Qualcomm Adreno 530, 624 MHz","4 GB, 6 GB, 1866 MHz",128 GB,"microSD, microSDHC, microSDXC","6 in, Super AMOLED, 1080 x 1920 pixels, 24 bit","3700 mAh, Li-Ion",360 2.0 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/c0a43dfa,https://www.devicespecifications.com/images/model/c0a43dfa/320/main.jpg,Q5 Plus;
360,164 g,Qualcomm Snapdragon 652 MSM8976,"4x 1.8 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53, Cores: 8","Qualcomm Adreno 510, 550 MHz","4 GB, 933 MHz",128 GB,"microSD, microSDHC, microSDXC","5.5 in, Super AMOLED, 1080 x 1920 pixels, 24 bit","3200 mAh, Li-Ion",360 2.0 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/bd153df9,https://www.devicespecifications.com/images/model/bd153df9/320/main.jpg,Q5;
360,169 g,MediaTek Helio X20 (MT6797M),"2x 2.0 GHz ARM Cortex-A72, 4x 1.85 GHz ARM Cortex-A53, 4x 1.4 GHz ARM Cortex-A53","ARM Mali-T880 MP4, 780 MHz, Cores: 4","4 GB, 800 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","5000 mAh, Li-Polymer",360 2.0 (Android 6.0 Marshmallow),"5312 x 2988 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/b1ed3d52,https://www.devicespecifications.com/images/model/b1ed3d52/320/main.jpg,N4s;
360,140 g,MediaTek Helio X20 (MT6797M),"2x 2.0 GHz ARM Cortex-A72, 4x 1.85 GHz ARM Cortex-A53, 4x 1.4 GHz ARM Cortex-A53","ARM Mali-T880 MP4, 780 MHz, Cores: 4","4 GB, 800 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","3080 mAh, Li-Polymer",360 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.0,"GPS, A-GPS, GLONASS",https://www.devicespecifications.com/en/price/252e3be5,https://www.devicespecifications.com/images/model/252e3be5/320/main.jpg,N4;
360,155 g,MediaTek MT6753,"ARM Cortex-A53, 1300 MHz, Cores: 8","ARM Mali-T720 MP3, 450 MHz, Cores: 3","2 GB, 3 GB, 666 MHz","16 GB, 32 GB","microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Ion",360 (Android 5.1 Lollipop),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.0,"GPS, A-GPS, GLONASS",,https://www.devicespecifications.com/images/model/00c73ad1/320/main.jpg,F4;
4good,,MediaTek MT6580,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5 in, IPS, 1080 x 1920 pixels, 24 bit","2300 mAh, Li-Ion",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/db394039/320/main.jpg,People G410;
4good,171 g,MediaTek MT6580,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","2800 mAh, Li-Ion",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/05d5403a/320/main.jpg,People G503;
4good,140 g,MediaTek MT6735P,"ARM Cortex-A53, 1000 MHz, Cores: 4","ARM Mali-T720 MP2, 400 MHz, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","1800 mAh, Li-Ion",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","Micro-SIM, Nano-SIM / microSD","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/27fb4040/320/main.jpg,Style R407;
4good,153 g,MediaTek MT6735P,"ARM Cortex-A53, 1000 MHz, Cores: 4","ARM Mali-T720 MP2, 400 MHz, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2150 mAh, Li-Ion",Android 5.1 Lollipop,"2560 x 1920 pixels, 640 x 480 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/6e38404c/320/main.jpg,People S502m 4G;
4good,162 g,MediaTek MT6735P,"ARM Cortex-A53, 1000 MHz, Cores: 4","ARM Mali-T720 MP2, 400 MHz, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Ion",Android 5.1 Lollipop,"2560 x 1920 pixels, 640 x 480 pixels, 30 fps","Micro-SIM, Mini-SIM","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/2a8f4041/320/main.jpg,People S555m 4G;
acer,340 g,MediaTek MT8163,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, Cores: 2","1 GB, 800 MHz",16 GB,"microSD, microSDHC, microSDXC","8 in, IPS, 1280 x 800 pixels, 24 bit","4600 mAh, Li-Polymer",Android 7.0 Nougat,"2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps",,"a, b, g, n","2.0, Micro USB",4.0,,,https://www.devicespecifications.com/images/model/9a294418/320/main.jpg,Iconia One 8 B1-860;
acer,530 g,MediaTek MT8167A,"ARM Cortex-A53, 1500 MHz, Cores: 4",PowerVR GE8300,2 GB,16 GB,"microSD, microSDHC, microSDXC","10.1 in, IPS, 1920 x 1200 pixels, 24 bit","6100 mAh, Li-Polymer",Android 7.0 Nougat,"2624 x 1968 pixels, 1920 x 1080 pixels, 30 fps",,"a, b, g, n, ac","2.0, Micro USB",4.0,,https://www.devicespecifications.com/en/price/a3484417,https://www.devicespecifications.com/images/model/a3484417/320/main.jpg,Iconia One 10 B3-A40FHD;
